Sub-Organización,N° Movimiento,Ingreso ELO,Ingreso SIF,Documento,N° Documento,Cuenta,Abono,Cargo
PROMOCION TEL OPERACIONES,10374,09/10/2025,,0,F. 3319,ARTICULOS DE LIBRERIA,0,143750
CEE TEL ,10377,09/10/2025,,0,RCTS N° 02,INSUMOS ALIMENTICIOS,0,85900
PROMOCION TEL OPERACIONES,10364,03/10/2025,,15090,4210,TRANSPORTE,0,15090
PROMOCION TEL OPERACIONES,10365,03/10/2025,,0,85680,MERCHANDISING,0,85680
D OP. LIBRE DISPOSICION,10369,03/10/2025,,0,1144,TRANSPORTE,0,350000
PROMOCION ELO OPERACIONES,10370,03/10/2025,,478,478,PREMIOS-REGALOS,0,292398
PROMOCION ELO OPERACIONES,10371,03/10/2025,,5,5,MERCHANDISING,0,85000
PROMOCION ELO OPERACIONES,10361,01/10/2025,,0,J0101748,MERCHANDISING,390000,0
PROMOCION TEL OPERACIONES,10362,01/10/2025,,0,J0101748,MERCHANDISING,390000,0
PROMOCION ELO OPERACIONES,10350,26/09/2025,,8920,8920,ALMUERZOS Y CENAS,0,8920
PROMOCION ELO OPERACIONES,10355,26/09/2025,,0,1169606,TRANSPORTE,0,16220
PROMOCION ELO OPERACIONES,10356,26/09/2025,,0,41716,MERCHANDISING,0,142800
PROMOCION TEL OPERACIONES,10340,24/09/2025,,0,F.485,MERCHANDISING,0,177132
ACTIVIDADES ESTUDIANTILES,10328,12/09/2025,,0,E0005409,INSUMOS ELECTRICOS Y ELECTRONICOS,0,1600000
D OP. LIBRE DISPOSICION,10330,12/09/2025,,0,5512,TRANSPORTE,0,190000
D OP. LIBRE DISPOSICION,10331,12/09/2025,,0,84,TRANSPORTE,0,450000
D OP. LIBRE DISPOSICION,10332,12/09/2025,,0,ELO-224,SERVICIOS DE BANQUETERIA,0,426667
Materiales de Oficina,10315,08/09/2025,,0,F. 11880416,INSUMOS ALIMENTICIOS,0,127601
Materiales de Oficina,10316,08/09/2025,,0,F. 11880409,INSUMOS ALIMENTICIOS,0,189830
Materiales de Oficina,10318,08/09/2025,,0,F. 11880408,INSUMOS DE ASEO,0,306427
Materiales de Oficina,10319,08/09/2025,,0,F. 106,INSUMOS ALIMENTICIOS,0,5600
Honorarios y Servicio Especiales,10320,08/09/2025,,0,F. 13211,SERVICIOS DE BANQUETERIA,0,42999
Materiales de Oficina,10321,08/09/2025,,0,F. 182,INSUMOS ALIMENTICIOS,0,5600
Materiales de Oficina,10322,08/09/2025,,0,F. 63860,INSUMOS ALIMENTICIOS,0,49409
PROMOCION TEL OPERACIONES,10308,26/08/2025,,0,P.002,BECA AYUDANTIAS USM,0,320000
PROMOCION ELO OPERACIONES,10297,20/08/2025,,0,38,PERFECCIONAMIENTO Y CAPACITACION,0,17544
PROMOCION ELO OPERACIONES,10298,20/08/2025,,0,36,PERFECCIONAMIENTO Y CAPACITACION,0,17544
PROMOCION ELO OPERACIONES,10299,20/08/2025,,0,4,CONSULTORIAS Y ASESORIAS,0,17544
PROMOCION ELO OPERACIONES,10300,20/08/2025,,0,28,CONSULTORIAS Y ASESORIAS,0,23400
PROMOCION TEL OPERACIONES,10291,19/08/2025,,0,SIIF-ID507,INSUMOS ALIMENTICIOS,0,205000
CEE ELO,10288,12/08/2025,,12970,165,TRANSPORTE,0,12970
CEE ELO,10289,12/08/2025,,0,38181,MERCHANDISING,0,85680
CEE ELO,10279,04/08/2025,,16127,3057954803,INSUMOS ALIMENTICIOS,0,16127
CEE TEL ,10274,25/07/2025,,0,s/n,BECA AYUDANTIAS USM,0,189000
REDISTRIBUCION PPTO GESTION VAL,10265,11/07/2025,,0,REDISTRIBUCION JUN 2025,INSUMOS ELECTRICOS Y ELECTRONICOS,1500000,0
REDISTRIBUCION PPTO GESTION VAL,10266,11/07/2025,,0,REDISTRIBUCION JUN 2025,TRANSPORTE,1000000,0
REDISTRIBUCION PPTO GESTION VAL,10267,11/07/2025,,0,REDISTRIBUCION JUN 2025,INSUMOS ALIMENTICIOS,1328183,0
ACTIVIDADES ESTUDIANTILES,10253,30/06/2025,,0,F. 654,SERVICIOS DE BANQUETERIA,0,1294125
Materiales de Oficina,10254,30/06/2025,,0,F. 58,INSUMOS ALIMENTICIOS,0,8400
PROMOCION TEL OPERACIONES,10241,26/06/2025,,0,Ayud.Administrativa,BECA AYUDANTIAS USM,0,15000
PROMOCION TEL OPERACIONES,10246,26/06/2025,,0,B. 1020321,ARTICULOS DE LIBRERIA,0,2760
Materiales de Oficina,10234,24/06/2025,,0,F. 11791131,INSUMOS DE ASEO,0,287500
Materiales de Oficina,10235,24/06/2025,,0,F. 11791135,INSUMOS ALIMENTICIOS,0,182285
Materiales de Oficina,10236,24/06/2025,,0,F. 11791137,INSUMOS ALIMENTICIOS,0,178193
Materiales de Oficina,10237,24/06/2025,,0,F. 63419,INSUMOS ALIMENTICIOS,0,49409
Gastos de Representación y Viáticos,10212,23/06/2025,,0,REDISTRIBUCION JUN 2025,GASTOS DE REPRESENTACION,0,736842
D OP. LIBRE DISPOSICION,10213,23/06/2025,,0,REDISTRIBUCION JUN 2025,CONSULTORIAS Y ASESORIAS,0,3091342
ACTIVIDADES ESTUDIANTILES,10198,16/06/2025,,0,F1015677,PREMIOS-REGALOS,0,587872
ACTIVIDADES ESTUDIANTILES,10199,16/06/2025,,0,F. 438,PREMIOS-REGALOS,0,368117
PROMOCION TEL OPERACIONES,10197,09/06/2025,,0,F. 11767974,INSUMOS ALIMENTICIOS,0,22806
CEE TEL ,10168,25/04/2025,,0,CEE TEL N°01,INSUMOS ALIMENTICIOS,0,27698
CEE TEL ,10169,25/04/2025,,0,CEE TEL N°01,ARTICULOS DE LIBRERIA,0,26000
CEE TEL ,10170,25/04/2025,,0,CEE TEL N°01,INSUMOS FERRET CONSTRUC Y MECANICOS,0,45980
Gastos de Representación y Viáticos,10163,24/04/2025,,0,F. 376,GASTOS DE REPRESENTACION,0,669375
Otros Gastos,10164,24/04/2025,,0,F. 17459,INSUMOS ALIMENTICIOS,0,5600
Otros Gastos,10165,24/04/2025,,0,F. 17737,INSUMOS ALIMENTICIOS,0,16800
Otros Gastos,10166,24/04/2025,,0,F. 12993,INSUMOS ALIMENTICIOS,0,42500
CEE ELO,10152,01/04/2025,,44168,442168,ARTICULOS DE LIBRERIA,0,15960
D OP. LIBRE DISPOSICION,10437,01/04/2025,,0,1920,INSUMOS ELECTRICOS Y ELECTRONICOS,0,85074
Otros Gastos,10143,27/03/2025,,0,F. 11679826,INSUMOS ALIMENTICIOS,0,68241
Otros Gastos,10144,27/03/2025,,0,F. 11679825,INSUMOS ALIMENTICIOS,0,169223
Otros Gastos,10147,27/03/2025,,0,F. 62165,INSUMOS ALIMENTICIOS,0,49409
Otros Gastos,10148,27/03/2025,,0,F. 12865,ALMUERZOS Y CENAS,0,42500
Otros Gastos,10150,27/03/2025,,0,F. 17290,INSUMOS ALIMENTICIOS,0,8400
ACTIVIDADES ESTUDIANTILES,10133,13/03/2025,,0,F. 1458,INSUMOS ELECTRICOS Y ELECTRONICOS,0,716002
ACTIVIDADES ESTUDIANTILES,10125,12/03/2025,,71566,F953,MERCHANDISING,0,1151325
ACTIVIDADES ESTUDIANTILES,10124,11/03/2025,,0,3021,ARTICULOS DE LIBRERIA,0,269749
Gastos de Representación y Viáticos,10117,05/03/2025,,0,F. 2050,TRANSPORTE,0,215000
Mantención de instalaciones,10041,02/01/2025,,0,PPTO 2025,MANTENCION DE INFRAESTRUCTURA,1080811,0
Gastos de Representación y Viáticos,10042,02/01/2025,,0,PPTO 2025,GASTOS DE REPRESENTACION,3242433,0
Honorarios y Servicio Especiales,10043,02/01/2025,,0,PPTO 2025,REMUNERACION HONORARIOS ADM,2702028,0
ACTIVIDADES ESTUDIANTILES,10044,02/01/2025,,0,PPTO 2025,SERVICIOS DE BANQUETERIA,5674258,0
D OP. LIBRE DISPOSICION,10045,02/01/2025,,0,PPTO 2025,CONSULTORIAS Y ASESORIAS,6182683,0
Otros Gastos,10046,02/01/2025,,0,PPTO 2025,36 OTROS GASTOS,1080811,0
Materiales de Oficina,10049,02/01/2025,,0,PPTO 2025,ARTICULOS DE LIBRERIA,4053042,0
CEE ELO,10050,02/01/2025,,0,PPTO 2025,MAQUINARIA EQUIPO INSTALACIONES,1080811,0
PROMOCION ELO OPERACIONES,10051,02/01/2025,,0,PPTO 2025,MERCHANDISING,2431825,0
CEE TEL ,10052,02/01/2025,,0,PPTO 2025,MAQUINARIA EQUIPO INSTALACIONES,540406,0
PROMOCION TEL OPERACIONES,10053,02/01/2025,,0,PPTO 2025,MERCHANDISING,2431825,0
